code,description
i7029,Steel combat knife with serrated edge and cracked handle
i4460,Set of twelve mismatched gear wheels ranging from 2cm to 15cm diameter
i9055,Fully assembled semi-automatic pistol with two loaded magazines
i6394,Sawn-off double-barreled shotgun with improvised pistol grip
i4796,"Reactor fuel cassette stored in regulation shielding canister, fully certified"
i3491,"Spearhead forged from steel, mounted on a wooden shaft"
i4051,"Crate of spark plugs, roughly 200 units, mixed compatibility"
i8095,"Soldering iron with hand-carved wooden grip, surprisingly effective"
i7391,Reactor fuel cassette containing enriched uranium pellets for portable nuclear power units
i9671,"Mechanical pressure gauge rated up to 300 PSI, still accurate"
